Goal,Target,Indicator,SeriesCode,SeriesDescription,GeoAreaCode,GeoAreaName,TimePeriod,Value,Time_Detail,TimeCoverage,UpperBound,LowerBound,BasePeriod,Source,GeoInfoUrl,FootNote,Nature,Reporting Type,Units, , , , , , , , , , , , , , , , , , , , 
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),1,World,2014,"5,548.00",2014,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),1,World,2015,"6,750.00",2015,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),1,World,2016,"8,084.00",2016,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),1,World,2017,"6,290.00",2017,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),1,World,2018,"5,009.00",2018,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),1,World,2019,"5,418.00",2019,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),1,World,2020,"4,302.00",2020,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),1,World,2021,"6,190.00",2021,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),1,World,2022,"7,136.00",2022,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),1,World,2023,"8,177.00",2023,,,,,IOM Missing Migrant Project,,,N,G,NUMBER,,,,,,,,,,,,,,,,,,,,
10,10.7,10.7.3,SM_DTH_MIGR,Total deaths and disappearances recorded during migration (number),4,Afghanistan,2017,10.00,2017,,,,,IOM Missing Migrant Project,,,G,G,NUMBER,,,,,,,,,,,,,,,,,,,,
